"Bewertungs_ID","Specificity_Score","Problem_Identification_Score","Solution_Offering_Score","Explanation_Score","Total_Score","Constructivity"
"rev-b5f1faf8-ddf9-4392-a3f7-be4de4cf19ec",2,1,1,2,2.5,0
"rev-ac1967bd-806e-433c-bbac-0cfa49793449",2,1,1,1,1.25,0
"rev-fa099cc3-eac5-41e8-996e-16592e390055",1,1,1,1,0,0
"rev-497d60e6-19da-40c8-ab4b-7125842efd4c",2,1,1,1,1.25,0
"rev-f2b4d9e1-660f-458b-8599-2c9d72dc24ba",1,1,1,1,0,0
"rev-99541bbf-b577-4e1c-9af0-76cbccd40c42",2,1,1,2,2.5,0
"rev-5fe7ec84-6794-43bd-aa4b-581009850fa8",2,1,1,1,1.25,0
"rev-b00e5b6c-dacb-450f-8805-1248737ba247",3,1,1,2,3.75,0
"rev-78ec95ee-123f-49f6-8a6e-65b22edd4690",3,1,1,2,3.75,0
"rev-acd256a7-11f9-4a3c-91a5-19afab8cefb1",1,1,1,1,0,0
"rev-14298130-b61c-41c8-b77d-d17257477cc5",1,1,1,1,0,0
"rev-d8c28ac5-9ab0-49ef-8e5e-230e6e785ab7",2,1,1,1,1.25,0
"rev-4fe8c3aa-2fb9-4bd8-b8b1-4252a3f8b1bf",2,2,1,2,3.75,0
"rev-dff755e3-aa7f-43f9-a018-cffbce0e204f",3,1,1,3,5,1
"rev-89624669-51aa-48b3-aaa7-f56580256813",2,3,1,2,5,1
"rev-2f289c80-b9db-482f-b7a3-deca3f4817a4",1,1,1,1,0,0
"rev-2fc2f886-3b78-4298-bb50-859fdf977050",3,1,1,3,5,1
"rev-c2f55ad3-68aa-4f45-a0a3-2a09846da81c",2,1,1,1,1.25,0
"rev-24a57301-bcbe-4416-8b1b-a63aaa8250d8",3,3,2,3,8.75,1
"rev-766352d8-1d07-46bc-afc3-90b41b5037ea",1,1,1,1,0,0
"rev-b8c52914-43e5-46c7-a06d-2e47151fb4e5",3,1,2,2,5,1
"rev-b1f4f701-83eb-4bb3-8eba-615cb90d67a9",1,1,1,1,0,0
"rev-2e584472-48f8-494f-8a76-27b27e37e1c2",2,1,1,2,2.5,0
"rev-503110dc-8d19-4a16-b7a9-f050ff92e520",3,2,2,3,7.5,1
"rev-0b2444ed-6039-4170-9456-8495ed9d9671",2,1,1,2,2.5,0
"rev-8605ecc4-c4bf-4c2d-9afc-7ebedb7a9cab",2,1,1,2,2.5,0
"rev-9d29ba77-afb0-47a6-8655-6560cf497d04",2,1,1,3,3.75,0
"rev-eb9dd185-f3ca-40e6-80d5-ab1c19152649",2,1,1,2,2.5,0
"rev-727c0d2d-46a1-428e-8852-02c0a7ddab91",2,2,1,2,3.75,0
"rev-2e67443a-8a9b-4888-8083-4a377d0d4950",3,1,1,2,3.75,0
"rev-55b190f4-91f6-4648-9cd7-1b0e30bef322",2,1,1,2,2.5,0
"rev-42853737-812f-4ded-acc2-9504daec4e60",2,1,1,1,1.25,0
"rev-3a73cbf2-c599-4750-b028-384cd5add7f3",2,1,1,2,2.5,0
"rev-660eead5-d474-468a-b4a7-86d7e430b6fd",3,1,1,2,3.75,0
"rev-8a941736-8c70-4bd2-9a88-4621251d4ac7",2,1,1,1,1.25,0
"rev-fe56391a-c23a-4940-8dd1-fc6783ce4418",3,2,1,2,5,1
"rev-1bbefacf-d6a6-4632-860d-2937a6136417",3,2,2,2,6.25,1
"rev-a5d44bf4-e0ae-4394-b0a1-fa41502a4a37",2,3,1,2,5,1
"rev-0cc3b0f6-404f-4f2e-9883-38dc864c5308",2,1,1,1,1.25,0
"rev-387f8431-660a-4f33-abd2-741efb49e4ac",2,1,1,1,1.25,0
"rev-28c3bea4-7f44-4785-968f-242c335ce45d",2,1,1,1,1.25,0
"rev-46c9424f-c3e4-4792-a892-232145d26f7a",3,3,2,3,8.75,1
"rev-7fa210eb-40ad-401d-b564-59682f7f83ff",1,1,1,1,0,0
"rev-1f34d2f3-ec1b-4a1e-af40-f2cc1b368e31",1,1,1,1,0,0
"rev-4c6618c8-fc10-4aa6-96bd-ef4ef2e76dad",3,3,2,3,8.75,1
"rev-d1334da4-39d2-4597-b98f-10781e7457a0",2,1,1,2,2.5,0
"rev-79728f24-8ead-4349-b728-e18bc83cffeb",3,2,2,2,6.25,1
"rev-b1dcd9b5-8011-4dae-82a2-79cfcee865ed",1,1,1,1,0,0
"rev-058d706e-93c7-4cf5-a588-ac8841218207",3,3,2,3,8.75,1
"rev-d26acc4a-ed63-40a4-b2f6-bd739a5922a2",2,1,1,2,2.5,0
"rev-83826d3c-67e6-458e-8d32-fe4760f980ec",2,1,1,1,1.25,0
"rev-0d01aac1-0696-4304-9ccf-5ad91d5d9cef",2,1,1,2,2.5,0
"rev-06491e1a-1003-463a-8fa4-3f74f8787ef4",1,1,1,1,0,0
"rev-72bf837e-3549-40f3-bf75-157e9530cdc7",1,1,1,1,0,0
"rev-d3fe5c31-e755-491c-9e0a-96e6cb31eb48",3,1,1,2,3.75,0
"rev-c3b6612b-905f-480c-9dc1-a5818b0f552c",1,1,1,1,0,0
"rev-853b0780-9cf3-4d5e-a7bb-42ab56103781",3,2,3,3,8.75,1
"rev-eeef54bc-6c06-433e-8726-ce6aa47ee184",1,1,1,1,0,0
"rev-c7d80309-a1ba-401a-b44e-4812bbf2b8e9",2,1,1,1,1.25,0
"rev-7f65d246-80ae-4e26-b9f2-76c9dfcec747",2,3,2,2,6.25,1
"rev-64d31758-c553-4dee-bdad-183cabb95bfd",2,1,1,1,1.25,0
"rev-2d2127a8-506a-46e6-8369-07010b80c2e4",2,1,1,2,2.5,0
"rev-2ab5ee98-bf40-4b50-b116-bfcf5251bec4",2,1,1,2,2.5,0
"rev-b69eec8d-ddad-49ed-9dc1-cedfa517d005",2,1,1,1,1.25,0
